date,buy_and_hold
2020-09-15,1.2706810766207313
2020-09-16,1.250413409940925
2020-09-17,1.2380747891078485
2020-09-18,1.2201244586448954
2020-09-21,1.2196143703536184
2020-09-22,1.237710078092699
2020-09-23,1.2083154821492228
2020-09-24,1.2161100845953912
2020-09-25,1.2407381482086963
2020-09-28,1.2590704650280489
2020-09-29,1.2586983666804
2020-09-30,1.271394136898141
2020-10-01,1.2808519289505031
2020-10-02,1.2599106843929115
2020-10-05,1.2877459372419942
2020-10-06,1.2725136215299107
2020-10-07,1.2965291218713269
2020-10-08,1.2986614884577852
2020-10-09,1.3114959964367592
2020-10-12,1.343531588119788
2020-10-13,1.3397991322234888
2020-10-14,1.3244902400049512
2020-10-15,1.3214688897825457
2020-10-16,1.316947016118809
2020-10-19,1.293478979879547
